time,open,high,low,close,tick_volume,spread,real_volume,rsi,ema20,ema50,ema200,slope,signal
2025-04-28 17:00:00,124674.73,124932.91,123594.4,123986.45,1799,3680,0,56.73532029136076,122789.36790846883,122851.12137883052,126575.92053232231,-693.4199999999983,0
2025-02-05 19:00:00,83133.66,83216.55,82501.19,82734.75,1799,2572,0,34.7965835381638,84828.13972394534,85611.5240179339,87341.30884186384,-380.2799999999989,0
2025-06-20 00:00:00,108562.33,110821.61,108263.04,110807.79,1799,3098,0,62.3135401826481,108688.61504605669,107772.65263991775,105612.45383128604,2239.2999999999884,0
2025-01-23 04:00:00,95062.1,96685.07,95027.3,96679.4,1800,2650,0,80.47461331473083,91780.41771672058,90527.5854015942,93223.08385897448,1618.0499999999884,1
2025-01-09 23:00:00,98182.35,98689.74,97713.28,98334.04,1798,2682,0,34.84015948646864,100240.44240809033,100916.18672209448,100827.31633276815,146.6999999999971,1
2025-02-01 13:00:00,83126.8,83799.34,82620.51,82771.58,1800,2880,0,28.51765000493728,84705.71612989374,86589.62294119682,90815.46088764528,-367.1300000000047,0
2025-05-12 21:00:00,103756.84,104267.61,103184.39,103870.8,1800,3359,0,29.436429085486463,108062.9720194404,109151.57320126254,110744.52944026678,97.16000000000348,0
2025-06-03 08:00:00,103603.21,103892.07,102988.75,103626.41,1800,3350,0,35.950055531168616,105630.28247160131,107948.29935903064,107058.0315139476,45.72000000000117,0
2025-03-13 08:00:00,94317.4,94724.74,93585.65,93814.95,1799,2873,0,41.12669031393581,94646.35807818233,95128.4627589253,94068.35721347122,-516.7700000000041,0
2025-01-03 23:00:00,99868.43,101011.27,99393.44,100831.42,1799,2666,0,53.39504416709479,100414.78651731682,99917.32127746998,98674.97711783728,943.5999999999912,1
2025-02-28 13:00:00,90294.44,90913.61,90066.5,90744.62,1800,2634,0,56.18643588388348,90054.47499965037,89006.42425251553,86258.55673423338,439.5299999999989,0
2025-06-27 07:00:00,99048.53,99402.82,98255.47,98987.49,1799,3098,0,41.83920082228138,100277.0427907736,101776.15317456314,105148.96828013778,-34.55999999999767,0
2025-01-10 11:00:00,99431.0,99844.38,98442.42,98592.21,1800,2682,0,45.26969910359127,99082.0782622291,100011.96993727556,100567.5877302308,-849.0599999999977,0
2025-01-31 17:00:00,88413.46,88719.14,87746.34,87778.17,1799,2880,0,44.87577845794633,88366.13299370819,88923.8175209421,92102.17794931296,-608.1500000000087,1
2025-06-07 17:00:00,98173.39,99389.65,97896.4,98883.54,1800,3350,0,56.69421318935462,97844.9051204184,97583.78119585986,100632.8013478137,712.8399999999965,1
2025-06-22 19:00:00,111005.68,112716.49,110786.14,112626.16,1800,3098,0,65.22533465361232,109589.56372702892,108858.49785956822,107187.02014059476,1578.9300000000076,1
2025-05-14 02:00:00,109561.29,110506.69,109220.97,110388.23,1800,3359,0,59.08889426271198,108867.58511452416,108394.8138242532,109927.59734906488,861.7399999999907,1
2025-01-29 16:00:00,87888.59,88601.23,87529.67,88164.11,1800,2880,0,32.4618885803074,90487.94482361636,92357.60728548167,94488.87337121688,250.61000000000055,0
2025-03-09 13:00:00,96810.59,97053.74,96111.88,96587.06,1799,2877,0,60.69538316528306,95067.55712117278,94230.70100897376,92390.45908460632,-233.04000000000812,1
2025-04-13 14:00:00,118692.28,120388.93,118555.32,119947.17,1800,3478,0,52.12134751961692,119415.92385252524,119858.45197021098,119922.32432688406,1299.1399999999994,1
2025-06-18 11:00:00,105053.23,105145.9,104165.21,104953.34,1800,3098,0,40.563562082900965,106330.18646066092,106256.5152184445,104644.86429465376,-107.58000000000176,0
2025-03-15 08:00:00,94644.75,95160.3,94255.36,95101.37,1800,2873,0,59.83664241914402,93424.6490124572,93657.07995897102,93806.26271076986,469.1699999999983,1
2025-05-16 22:00:00,102902.8,102936.82,100047.55,100245.23,1800,3359,0,40.79459073658845,101888.32475105912,103379.39933920148,107321.371400355,-2673.430000000008,1
2025-05-11 22:00:00,111440.02,111642.83,110636.82,110722.57,1799,3560,0,46.20149460970445,112022.45527548404,110519.46558850427,111315.57882105032,-724.7999999999884,0
2025-01-06 17:00:00,101496.75,101623.83,100325.31,100657.81,1800,2682,0,42.24522420677876,101734.10887446498,102008.7841996271,100389.8484058683,-830.2700000000041,1
2025-04-10 00:00:00,125399.68,125818.63,124328.84,125013.13,1800,3478,0,44.21624458642149,126747.3191437082,124358.72615250378,119589.89462555376,-371.0599999999977,0
2025-04-01 19:00:00,118603.9,119549.98,118464.79,119100.13,1800,3201,0,56.02548457065295,118013.97132034472,118470.32726726565,114256.61612661312,531.2600000000093,1
2025-01-04 05:00:00,101727.22,102941.28,101609.13,102478.17,1798,2666,0,58.30025827394809,101288.68823228012,100435.39974694014,98888.49754066874,737.7299999999959,0
2025-02-17 22:00:00,80673.05,80673.05,78790.94,79083.12,1799,2385,0,56.214719510726354,78342.88911979065,77406.30390942577,77062.8952440293,-1584.9500000000116,1
2025-04-18 05:00:00,128182.44,128506.07,127464.31,128165.35,1800,3923,0,41.94280653053012,129788.07449043194,129839.4412723332,126851.2808945511,-13.709999999991853,0
2025-03-15 22:00:00,92764.48,92932.61,91725.35,92747.76,1799,2873,0,43.74182667211264,93758.6724153666,93873.27185570056,93872.6126768631,3.4199999999982538,0
2025-02-15 21:00:00,76830.62,77129.25,76290.37,76298.62,1799,2413,0,61.444348416818265,75126.83027745069,74383.09673833834,76704.73426171266,-529.7600000000093,1
2025-06-01 17:00:00,110918.6,112435.39,110565.57,111834.27,1800,3033,0,48.133003207980025,112029.0591055168,111809.0265292671,106661.81414034095,912.7799999999988,0
2025-04-22 21:00:00,139038.24,140343.91,138353.47,139879.48,1800,4009,0,67.21033697607763,137050.07698568155,134678.50237683387,130442.71195726392,886.4300000000221,1
2025-07-11 12:00:00,105630.41,106316.02,105341.33,106146.0,1800,3081,0,49.532375601048365,106271.96978877643,105433.03722386544,102910.67024561515,529.820000000007,0
2025-03-20 20:00:00,94904.68,95922.97,94818.47,95633.36,1798,2631,0,44.3660215135414,96869.73634447184,95581.5970163275,93545.36370682216,748.4499999999971,0
2025-03-17 20:00:00,89743.48,91614.65,89371.57,91493.32,1800,2631,0,65.3352503170083,89001.00321119808,89765.39444778091,92194.12664116672,1759.4900000000052,1
2025-04-30 14:00:00,118435.53,118887.14,117357.15,118606.3,1800,3680,0,46.8126324960656,118957.94267657193,120140.6504495144,124273.53889799392,156.1600000000035,1
2025-07-12 21:00:00,104621.01,104650.94,103482.26,104115.56,1799,3081,0,41.261698702878846,105577.0685072085,105663.54252032474,103723.68946552814,-517.5100000000093,0
2025-07-20 20:00:00,94906.11,95381.84,94748.76,94855.64,1800,3410,0,33.53330706218222,97558.59754592438,98858.10224370244,101080.4378668787,-32.38999999999942,1
2025-02-26 23:00:00,85964.29,86722.34,85820.79,86595.17,1800,2634,0,52.093993647557525,86220.05754901236,86281.38867268179,84780.52344731215,648.7299999999959,0
2025-04-14 14:00:00,133376.37,135282.68,133274.17,134505.89,1800,3923,0,78.36062805215798,128999.8853434158,125437.78983277052,121709.21642855392,1075.4800000000105,0
2025-03-27 16:00:00,111879.27,113060.55,111623.32,112737.83,1798,3201,0,52.97145592396626,112123.93905494155,111533.50879281704,104854.29783409977,893.8300000000017,1
2025-05-26 22:00:00,99588.5,100517.89,99465.74,100509.72,1800,3033,0,57.13706643712221,99203.41343118918,98731.37142239416,98853.80977734968,907.3999999999942,0
2025-05-23 17:00:00,94589.64,94817.26,93128.1,93260.45,1799,2784,0,32.38008686907328,96127.40350685634,97787.80801915082,99552.93421847864,-1300.3300000000015,1
2025-01-27 06:00:00,94291.77,95938.94,94291.77,95938.94,1800,2650,0,50.99900977731044,95574.41615405068,96230.54183416044,95641.9818986055,1644.75,1
2025-06-04 15:00:00,94124.36,94689.22,93579.37,93665.76,1800,3350,0,25.143546648379957,97191.30808631705,100759.59311910535,104769.2935351669,-452.9600000000064,1
